tensor(0.0826, device='cuda:0')
tensor(0.0736, device='cuda:0')
tensor(0.0744, device='cuda:0')
tensor(0.0481, device='cuda:0')
tensor(0.0717, device='cuda:0')
tensor(0.0759, device='cuda:0')
tensor(0.0736, device='cuda:0')
tensor(0.0743, device='cuda:0')
tensor(0.0637, device='cuda:0')
tensor(0.0884, device='cuda:0')
tensor(0.0773, device='cuda:0')
tensor(0.0738, device='cuda:0')
tensor(0.0654, device='cuda:0')
tensor(0.0625, device='cuda:0')
tensor(0.0737, device='cuda:0')
tensor(0.0686, device='cuda:0')
tensor(0.0627, device='cuda:0')
tensor(0.0449, device='cuda:0')
tensor(0.0690, device='cuda:0')
tensor(0.0596, device='cuda:0')
tensor(0.0661, device='cuda:0')
tensor(0.0526, device='cuda:0')
tensor(0.0636, device='cuda:0')
tensor(0.0720, device='cuda:0')
tensor(0.0665, device='cuda:0')
tensor(0.0693, device='cuda:0')
tensor(0.0670, device='cuda:0')
tensor(0.0636, device='cuda:0')
tensor(0.0681, device='cuda:0')
tensor(0.0293, device='cuda:0')
tensor(0.0629, device='cuda:0')
tensor(0.0624, device='cuda:0')
tensor(0.0709, device='cuda:0')
tensor(0.0555, device='cuda:0')
tensor(0.0541, device='cuda:0')
tensor(0.0711, device='cuda:0')
tensor(0.0654, device='cuda:0')
tensor(0.0650, device='cuda:0')
tensor(0.0512, device='cuda:0')
tensor(0.0606, device='cuda:0')
tensor(0.0751, device='cuda:0')
tensor(0.0617, device='cuda:0')
tensor(0.0545, device='cuda:0')
tensor(0.0638, device='cuda:0')
tensor(0.0624, device='cuda:0')
tensor(0.0572, device='cuda:0')
tensor(0.0651, device='cuda:0')
tensor(0.0618, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0664, device='cuda:0')
tensor(0.0612, device='cuda:0')
tensor(0.0618, device='cuda:0')
tensor(0.0583, device='cuda:0')
tensor(0.0500, device='cuda:0')
tensor(0.0638, device='cuda:0')
tensor(0.0618, device='cuda:0')
tensor(0.0650, device='cuda:0')
tensor(0.0547, device='cuda:0')
tensor(0.0562, device='cuda:0')
tensor(0.0625, device='cuda:0')
tensor(0.0677, device='cuda:0')
tensor(0.0609, device='cuda:0')
tensor(0.0551, device='cuda:0')
tensor(0.0695, device='cuda:0')
tensor(0.0519, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.0625, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0170, device='cuda:0')
tensor(0.0597, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.0545, device='cuda:0')
tensor(0.0492, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.0645, device='cuda:0')
tensor(0.0597, device='cuda:0')
tensor(0.0516, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.0548, device='cuda:0')
tensor(0.0485, device='cuda:0')
tensor(-0.0543, device='cuda:0')
tensor(0.0471, device='cuda:0')
tensor(0.0420, device='cuda:0')
tensor(0.0329, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0598, device='cuda:0')
tensor(0.0535, device='cuda:0')
tensor(0.0474, device='cuda:0')
tensor(0.0439, device='cuda:0')
tensor(0.0414, device='cuda:0')
tensor(0.0287, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.0440, device='cuda:0')
tensor(-0.0333, device='cuda:0')
tensor(0.0361, device='cuda:0')
tensor(0.0325, device='cuda:0')
tensor(0.0437, device='cuda:0')
tensor(0.0465, device='cuda:0')
tensor(0.0513, device='cuda:0')
tensor(0.0472, device='cuda:0')
tensor(0.0549, device='cuda:0')
tensor(0.0355, device='cuda:0')
tensor(0.0408, device='cuda:0')
tensor(0.0326, device='cuda:0')
tensor(0.0528, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(-0.2173, device='cuda:0')
tensor(0.0286, device='cuda:0')
tensor(0.0075, device='cuda:0')
tensor(0.0503, device='cuda:0')
tensor(0.0508, device='cuda:0')
tensor(0.0448, device='cuda:0')
tensor(0.0459, device='cuda:0')
tensor(0.0456, device='cuda:0')
tensor(0.0363, device='cuda:0')
tensor(0.0473, device='cuda:0')
tensor(0.0393, device='cuda:0')
tensor(0.0356, device='cuda:0')
tensor(0.0456, device='cuda:0')
tensor(-0.0260, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.0490, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.0424, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.0563, device='cuda:0')
tensor(0.0411, device='cuda:0')
tensor(0.0427, device='cuda:0')
tensor(0.0506, device='cuda:0')
tensor(0.0463, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.0422, device='cuda:0')
tensor(-0.2018, device='cuda:0')
tensor(0.0253, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.0370, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.0320, device='cuda:0')
tensor(0.0364, device='cuda:0')
tensor(0.0412, device='cuda:0')
tensor(0.0334, device='cuda:0')
tensor(0.0479, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.0220, device='cuda:0')
tensor(0.0376, device='cuda:0')
tensor(0.0392, device='cuda:0')
tensor(0.0438, device='cuda:0')
tensor(0.0364, device='cuda:0')
tensor(0.0398, device='cuda:0')
tensor(0.0423, device='cuda:0')
tensor(0.0404, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.0485, device='cuda:0')
tensor(0.0525, device='cuda:0')
tensor(0.0456, device='cuda:0')
tensor(0.0448, device='cuda:0')
tensor(0.0367, device='cuda:0')
tensor(0.0259, device='cuda:0')
tensor(0.0408, device='cuda:0')
tensor(0.0159, device='cuda:0')
tensor(0.0438, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0357, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.0352, device='cuda:0')
tensor(0.0256, device='cuda:0')
tensor(0.0425, device='cuda:0')
tensor(0.0379, device='cuda:0')
tensor(0.0365, device='cuda:0')
tensor(0.0482, device='cuda:0')
tensor(0.0339, device='cuda:0')
tensor(0.0451, device='cuda:0')
tensor(0.0272, device='cuda:0')
tensor(0.0424, device='cuda:0')
tensor(0.0475, device='cuda:0')
tensor(0.0387, device='cuda:0')
tensor(0.0316, device='cuda:0')
tensor(0.0423, device='cuda:0')
tensor(0.0417, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(0.0433, device='cuda:0')
tensor(0.0093, device='cuda:0')
tensor(-0.2552, device='cuda:0')
tensor(0.0305, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0220, device='cuda:0')
tensor(0.0413, device='cuda:0')
tensor(0.0459, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.0328, device='cuda:0')
tensor(0.0353, device='cuda:0')
tensor(0.0314, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.0310, device='cuda:0')
tensor(0.0428, device='cuda:0')
tensor(0.0308, device='cuda:0')
tensor(0.0312, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.0414, device='cuda:0')
tensor(0.0379, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(0.0313, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.0332, device='cuda:0')
tensor(0.0404, device='cuda:0')
tensor(0.0389, device='cuda:0')
tensor(0.0373, device='cuda:0')
tensor(-0.2423, device='cuda:0')
tensor(0.0440, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0298, device='cuda:0')
tensor(0.0210, device='cuda:0')
tensor(0.0405, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.0292, device='cuda:0')
tensor(0.0369, device='cuda:0')
tensor(0.0339, device='cuda:0')
tensor(0.0384, device='cuda:0')
tensor(0.0293, device='cuda:0')
tensor(0.0333, device='cuda:0')
tensor(0.0306, device='cuda:0')
tensor(0.0247, device='cuda:0')
tensor(0.0190, device='cuda:0')
tensor(0.0386, device='cuda:0')
tensor(0.0333, device='cuda:0')
tensor(0.0311, device='cuda:0')
tensor(0.0421, device='cuda:0')
tensor(0.0467, device='cuda:0')
tensor(0.0409, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.0256, device='cuda:0')
tensor(0.0420, device='cuda:0')
tensor(0.0288, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.0281, device='cuda:0')
tensor(0.0404, device='cuda:0')
tensor(0.0285, device='cuda:0')
tensor(0.0423, device='cuda:0')
tensor(0.0409, device='cuda:0')
tensor(0.0331, device='cuda:0')
tensor(0.0186, device='cuda:0')
tensor(0.0375, device='cuda:0')
tensor(0.0364, device='cuda:0')
tensor(0.0249, device='cuda:0')
tensor(0.0296, device='cuda:0')
tensor(-0.2714, device='cuda:0')
tensor(0.0148, device='cuda:0')
tensor(0.0225, device='cuda:0')
tensor(0.0146, device='cuda:0')
tensor(0.0155, device='cuda:0')
tensor(0.0386, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.0340, device='cuda:0')
tensor(0.0235, device='cuda:0')
tensor(0.0241, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0202, device='cuda:0')
tensor(0.0406, device='cuda:0')
tensor(-0.2091, device='cuda:0')
tensor(0.0193, device='cuda:0')
tensor(0.0239, device='cuda:0')
tensor(0.0297, device='cuda:0')
tensor(0.0265, device='cuda:0')
tensor(0.0468, device='cuda:0')
tensor(0.0295, device='cuda:0')
tensor(0.0338, device='cuda:0')
tensor(0.0244, device='cuda:0')
tensor(0.0332, device='cuda:0')
tensor(0.0269, device='cuda:0')
tensor(0.0360, device='cuda:0')
